Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
N1,08/08/14,Zwolle,Utrecht,2,0,H,0,0,D,1.95,3.6,3.6,2,3.4,3.25,2,3.3,3.2,2,3.4,3.4,1.98,3.76,3.94,1.91,3.4,3.6,1.95,3.5,3.75,2,3.6,3.8,46,2.1,1.94,4.05,3.53,4,3.6,40,1.78,1.69,2.28,2.13,21,-0.5,2,1.96,1.94,1.88
N1,09/08/14,Cambuur,Twente,1,1,D,1,0,H,4.2,3.75,1.8,3.75,3.6,1.8,4,3.4,1.75,4.2,3.75,1.72,4.34,3.92,1.83,4.2,3.5,1.83,4,3.75,1.73,4.4,3.9,1.8,47,4.7,4.14,3.92,3.69,1.83,1.77,43,1.76,1.69,2.32,2.13,19,0.75,1.88,1.84,2.07,2.01
N1,09/08/14,Heerenveen,Dordrecht,1,2,A,1,1,D,1.44,4.5,6.5,1.42,4.75,5.5,1.4,4,6.5,1.44,4.33,6.5,1.47,4.88,6.93,1.44,4.2,7.5,1.44,4.33,6.25,1.5,4.5,7,47,1.5,1.44,4.88,4.37,7.8,6.69,33,1.56,1.49,2.68,2.52,20,-1,1.8,1.74,2.19,2.13
N1,09/08/14,Heracles,AZ Alkmaar,0,3,A,0,0,D,2.5,3.4,2.7,2.5,3.3,2.5,2.5,3.2,2.5,2.5,3.4,2.6,2.57,3.65,2.71,2.62,3.2,2.7,2.5,3.4,2.63,2.6,3.5,2.7,47,2.65,2.52,3.7,3.39,2.78,2.62,36,1.73,1.64,2.32,2.18,24,0,1.92,1.87,2.01,1.95
N1,09/08/14,NAC Breda,Excelsior,1,1,D,1,1,D,2.1,3.5,3.25,2.1,3.4,3,2.2,3.2,2.9,2.1,3.4,3.2,2.11,3.63,3.56,2.15,3.3,3.4,2.05,3.5,3.25,2.1,3.5,3.6,47,2.2,2.08,3.67,3.47,3.7,3.29,44,1.84,1.75,2.15,2.04,20,-0.5,2.14,2.07,1.85,1.78
N1,10/08/14,Ajax,Vitesse,4,1,H,1,0,H,1.5,4.33,6,1.5,3.75,6,1.5,3.8,5.5,1.5,4,6,1.57,4.44,5.96,1.6,3.75,6,1.53,4,5.5,1.55,4.3,6,47,1.6,1.54,4.5,4.07,6.5,5.75,35,1.6,1.53,2.66,2.4,22,-1,1.98,1.91,2,1.93
N1,10/08/14,Den Haag,Feyenoord,0,1,A,0,0,D,4.2,4,1.75,4.25,3.6,1.7,4.5,3.5,1.65,4.33,3.6,1.72,4.19,3.93,1.85,4.5,4,1.7,4,3.75,1.8,4.1,4,1.83,46,4.5,4.04,4.02,3.72,1.93,1.81,36,1.65,1.58,2.44,2.3,17,0.5,2.07,2,1.89,1.84
N1,10/08/14,Go Ahead Eagles,Groningen,2,3,A,1,0,H,2.63,3.4,2.6,2.45,3.3,2.6,2.5,3.2,2.5,2.55,3.4,2.5,2.71,3.66,2.58,2.7,3.2,2.62,2.63,3.25,2.5,2.7,3.4,2.62,47,2.82,2.65,3.7,3.34,2.63,2.53,36,1.73,1.66,2.32,2.15,24,0,2.02,1.95,1.94,1.88
N1,10/08/14,Willem II,PSV Eindhoven,1,3,A,1,2,A,5,4.33,1.57,5.5,3.75,1.53,4.8,3.6,1.6,5,4,1.57,5.29,4.35,1.64,5.5,3.75,1.62,5,4,1.62,5.25,4.3,1.62,47,5.8,5.07,4.37,4.05,1.65,1.6,36,1.65,1.56,2.5,2.34,24,1,1.86,1.8,2.13,2.05
N1,15/08/14,Feyenoord,Heerenveen,1,1,D,0,0,D,1.45,4.5,6.5,1.45,4.1,6,1.5,4,5.2,1.53,4,6,1.49,4.69,6.85,1.5,4.2,5.5,1.5,4.33,6,1.5,4.6,6.5,50,1.55,1.48,4.9,4.37,6.9,6.19,34,1.53,1.48,2.82,2.54,23,-1,1.85,1.79,2.13,2.06
N1,16/08/14,Dordrecht,Zwolle,1,2,A,0,1,A,2.5,3.6,2.6,2.55,3.2,2.55,2.5,3.2,2.5,2.62,3.5,2.5,2.66,3.63,2.65,2.7,3.1,2.7,2.6,3.3,2.6,2.6,3.6,2.62,50,2.7,2.59,3.7,3.37,2.7,2.6,38,1.67,1.61,2.46,2.24,24,0,1.95,1.9,1.99,1.92
N1,16/08/14,PSV Eindhoven,NAC Breda,6,1,H,2,1,H,1.18,7,13,1.2,6,10,1.2,5.2,11,1.22,6,12,1.23,6.88,13.86,1.25,5.5,12,1.2,6,11,1.2,7,15,50,1.25,1.21,7.03,6.26,16,12.37,34,1.45,1.38,3.05,2.89,25,-2,2.11,2.04,1.88,1.81
N1,16/08/14,Twente,Den Haag,2,2,D,1,0,H,1.33,5,8.5,1.36,4.1,8,1.35,4.2,7.5,1.4,4.75,7,1.35,5.3,9.99,1.36,4.5,9,1.36,4.8,7.5,1.36,5.2,8,50,1.4,1.35,5.3,4.91,9.99,8.22,34,1.57,1.52,2.6,2.44,25,-1.5,2.08,1.97,1.93,1.87
N1,16/08/14,Vitesse,Cambuur,2,2,D,2,1,H,1.53,4.33,5.5,1.55,3.7,5.5,1.55,3.7,5,1.5,4.33,6,1.58,4.39,5.94,1.57,3.8,6,1.53,4,5.5,1.55,4.3,6,49,1.59,1.54,4.6,4.16,6.1,5.56,37,1.65,1.56,2.42,2.33,26,-1,1.98,1.91,1.99,1.93
N1,17/08/14,AZ Alkmaar,Ajax,1,3,A,0,1,A,3.1,3.4,2.25,3.2,3.25,2.1,3.2,3.3,2,3.3,3.5,2.1,3.29,3.64,2.21,3.3,3.3,2.2,3.13,3.5,2.1,3.25,3.5,2.25,50,3.4,3.18,3.75,3.44,2.26,2.16,38,1.74,1.66,2.35,2.16,22,0.25,1.99,1.93,1.96,1.91
N1,17/08/14,Excelsior,Go Ahead Eagles,3,2,H,1,0,H,2.2,3.5,3.1,2.2,3.4,2.85,2.1,3.3,3,2.25,3.5,3,2.29,3.62,3.15,2.3,3.4,3,2.2,3.4,3.13,2.3,3.5,3.12,50,2.3,2.23,3.75,3.43,3.21,3.06,37,1.77,1.66,2.25,2.15,20,0,1.7,1.64,2.35,2.28
N1,17/08/14,Groningen,Heracles,3,1,H,2,0,H,1.67,4.2,4.5,1.7,3.8,4,1.65,3.5,4.5,1.66,4.2,4.5,1.71,4.17,4.81,1.7,3.6,5,1.67,3.8,4.5,1.7,4.2,4.75,49,1.73,1.67,4.33,3.91,5.07,4.63,37,1.6,1.52,2.62,2.42,22,-0.75,1.93,1.88,2.04,1.97
N1,17/08/14,Utrecht,Willem II,2,1,H,0,0,D,1.85,3.8,3.8,1.78,3.5,3.9,1.8,3.2,4,1.8,3.75,4.2,1.85,3.88,4.31,1.8,3.5,4,1.83,3.6,4,1.9,3.8,4,50,1.92,1.84,3.9,3.62,4.4,4,45,1.8,1.69,2.23,2.12,23,-0.5,1.91,1.86,2.05,1.98
N1,22/08/14,Heracles,Cambuur,0,1,A,0,0,D,2.25,3.5,3,2.25,3.2,2.95,2.1,3.3,3,2.2,3.4,3.2,2.33,3.67,3.09,2.3,3.6,2.88,2.25,3.3,3,2.3,3.6,3,49,2.42,2.28,3.65,3.43,3.25,2.99,41,1.72,1.64,2.4,2.2,22,-0.25,2.07,2.02,1.88,1.84
N1,23/08/14,Go Ahead Eagles,Dordrecht,0,0,D,0,0,D,1.85,3.8,3.8,1.85,3.6,3.5,1.8,3.4,3.7,1.9,3.75,3.6,1.86,4.02,4.09,1.83,3.6,4,1.83,3.5,4,1.85,3.8,4.2,49,1.91,1.84,4.02,3.68,4.3,3.92,38,1.66,1.56,2.49,2.35,22,-0.5,1.95,1.84,2.08,2.01
N1,23/08/14,Heerenveen,Excelsior,2,0,H,0,0,D,1.5,4.5,5.75,1.5,4.25,5,1.5,4,5.2,,,,1.51,4.68,6.46,1.5,4.33,6,1.5,4.33,6,1.5,4.5,6.5,49,1.53,1.48,4.9,4.33,7,6.11,36,1.51,1.45,2.94,2.65,23,-1,1.85,1.78,2.14,2.07
N1,23/08/14,Willem II,AZ Alkmaar,3,0,H,2,0,H,2.7,3.4,2.5,2.85,3.3,2.25,2.7,3.3,2.3,2.8,3.4,2.4,2.82,3.61,2.51,2.8,3.2,2.5,2.75,3.3,2.4,2.8,3.4,2.55,48,3,2.76,3.61,3.39,2.56,2.43,37,1.71,1.64,2.35,2.18,27,0,2.1,2.01,1.88,1.82
N1,24/08/14,Ajax,PSV Eindhoven,1,3,A,1,0,H,1.91,3.75,3.6,1.95,3.5,3.6,1.85,3.4,3.8,1.9,3.75,3.75,1.91,3.9,4,1.95,3.5,3.8,1.9,3.6,3.6,1.92,3.75,3.9,49,1.95,1.9,4,3.67,4.25,3.74,38,1.61,1.56,2.6,2.35,24,-0.5,1.95,1.9,2.01,1.95
N1,24/08/14,Den Haag,Groningen,3,0,H,0,0,D,2.4,3.4,2.8,2.35,3.4,2.6,2.4,3.3,2.55,2.4,3.4,2.8,2.41,3.65,2.93,2.5,3.2,2.8,2.38,3.3,2.8,2.4,3.4,2.88,48,2.55,2.39,3.65,3.39,3,2.79,38,1.73,1.64,2.3,2.18,24,0,1.82,1.78,2.14,2.07
